,name,id,worth_in_BUSD,worth_perc,acummulate_worth,acummulate_worth_perc,qty_rich,acummulate_qty_perc
0,Jeff bezos,4256,112.0,1.2362576714203717,112.0,1.2362576714203717,1,0.04424778761061947
1,Bill gates,6708,90.0,0.9934213431056559,202.0,2.2296790145260275,2,0.08849557522123894
2,Warren buffett,7790,84.0,0.9271932535652788,286.0,3.1568722680913064,3,0.13274336283185842
3,Bernard arnault,2560,72.0,0.7947370744845247,358.0,3.951609342575831,4,0.17699115044247787
4,Mark zuckerberg,5624,71.0,0.7836990595611285,429.0,4.735308402136959,5,0.22123893805309736
5,Amancio ortega,2683,70.0,0.7726610446377323,499.0,5.507969446774692,6,0.26548672566371684
6,Carlos slim helu,9249,67.1,0.7406508013598833,566.1,6.248620248134575,7,0.30973451327433627
7,Charles koch,8519,60.0,0.6622808954037706,626.1,6.910901143538346,8,0.35398230088495575
8,David koch,8377,60.0,0.6622808954037706,686.1,7.573182038942116,9,0.39823008849557523
9,Larry ellison,7402,58.5,0.6457238730186763,744.6,8.218905911960793,10,0.4424778761061947
10,Michael bloomberg,1761,50.0,0.5519007461698088,794.6,8.770806658130601,11,0.48672566371681414
11,Larry page,5863,48.8,0.5386551282617333,843.4,9.309461786392335,12,0.5309734513274337
12,Sergey brin,7349,47.5,0.5243057088613183,890.9,9.833767495253653,13,0.5752212389380531
13,Jim walton,7520,46.4,0.5121638924455826,937.3,10.345931387699236,14,0.6194690265486725
14,S. robson walton,2820,46.2,0.5099562894609033,983.5,10.855887677160139,15,0.6637168141592921
15,Alice walton,8847,46.0,0.5077486864762241,1029.5,11.363636363636363,16,0.7079646017699115
16,Ma huateng,7715,45.3,0.5000220760298467,1074.8,11.86365843966621,17,0.7522123893805309
17,Francoise bettencourt meyers,1206,42.2,0.4658042297673186,1117.0,12.329462669433529,18,0.7964601769911505
18,Mukesh ambani,4559,40.1,0.4426243984281867,1157.1,12.772087067861714,19,0.8407079646017699
