,id,name,position,lastName,age,gender,country,image,Source,worth,worthChange,realTimeWorth,realTimePosition
0,3614,anant asavabhOKHIN & FAMIly,,,,,,,,,,,
1,6176,arash FERDOWSi,,,,,,,,,,,
2,4405,banthoon LAMSAM & FAmily,,,,,,,,,,,
3,7374,BILL ADDERLEY & Family,,,,,,,,,,,
4,4404,boris zINGAREVICh,,,,,,,,,,,
5,1087,bryan SHEFFIELd,,,,,,,,,,,
6,5246,charles buTT & family,,,,,,,,,,,
7,1706,cHARLES CADOGAN & family,,,,,,,,,,,
8,8249,chatri sophonPANICH & FAMILY,,,,,,,,,,,
9,4018,daniEL EK,,,,,,,,,,,
10,5404,daniel hIRSChfeld,,,,,,,,,,,
11,5705,dANIEL TSAI & Family,,,,,,,,,,,
12,9055,dietER SCHAUb,,,,,,,,,,,
13,5083,DIK WESSELS,,,,,,,,,,,
14,2362,donG FAN,,,,,,,,,,,
15,4799,eLISABETH BADINTEr & family,,,,,,,,,,,
16,6534,frEDERIC luddy,,,,,,,,,,,
17,8080,gao DEKANG & family,,,,,,,,,,,
18,2146,hajIME SATOmi,,,,,,,,,,,
19,7414,heinrich DEICHMANN & family,,,,,,,,,,,
20,5123,hiroshi OKURA & FAMily,,,,,,,,,,,
21,1178,husain DJOJONEGoro & family,,,,,,,,,,,
22,5735,ivan SAVVIDIS,,,,,,,,,,,
23,3081,jacQUES MERCERON-Vicat & family,,,,,,,,,,,
24,7764,jamES DUFF,,,,,,,,,,,
25,4469,jeAN BURELLe,,,,,,,,,,,
26,3627,jim KOCh,,,,,,,,,,,
27,3101,john ARMITage,,,,,,,,,,,
28,4824,joNATHAN HARMSWORTH,,,,,,,,,,,
29,8495,laureNT BURElle,,,,,,,,,,,
30,5773,lEE HWA-KYUNg,,,,,,,,,,,
31,5572,liu dIANBO,,,,,,,,,,,
32,1275,lIU GEXIn,,,,,,,,,,,
33,8813,loretta ROBINSON & FAMILy,,,,,,,,,,,
34,1878,lu FENG,,,,,,,,,,,
35,1288,lucio aND SUSAN Co,,,,,,,,,,,
36,1592,malvINDER & SHIVinder singh,,,,,,,,,,,
37,4752,MARTIN LORENTZON,,,,,,,,,,,
38,7484,MARY & DOUGLAS perkins,,,,,,,,,,,
39,4306,onsI SAWIRIS,,,,,,,,,,,
40,7878,osathanuGRAH family,,,,,,,,,,,
