,id,lastName,age,Unnamed: 0,gender,country,image,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition,id,name,position,Unnamed: 0
0,4256,bEZOs,54 years old,52,M,United States,https://specials-images.forbesimg.com/imageserve/5a8d920d31358e4955adf197/416x416.jpg?background=000000&cropX1=755&cropX2=2357&cropY1=494&cropY2=2097,4256,52,Technology  ==> Amazon,112.0 BUSD,0.0 millions USD,,1,4256,JEFF BEZOs,1.0,52
1,6708,gaTES,62 years old,53,None,United States,https://specials-images.forbesimg.com/imageserve/5a942b7b31358e79a28a452b/416x416.jpg?background=000000&cropX1=285&cropX2=3498&cropY1=146&cropY2=3360,6708,53,Technology  ==> Microsoft,90.0 BUSD,-0.001 millions USD,,2,6708,bill GATES,2.0,53
2,7790,bUFFETt,87 years old,54,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9b3a31358e4955adf300/416x416.jpg?background=000000&cropX1=378&cropX2=2650&cropY1=52&cropY2=2322,7790,54,Finance and Investments  ==> Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,,3,7790,warren BUFFETt,3.0,54
3,2560,arNAUlt,69 years old,55,M,None,https://specials-images.forbesimg.com/imageserve/5a7de808a7ea431690131adf/416x416.jpg?background=000000&cropX1=125&cropX2=2852&cropY1=11&cropY2=2736,2560,55,Fashion & Retail  ==> LVMH,72.0 BUSD,0.0 millions USD,,4,2560,bernard Arnault,4.0,55
4,5624,zuCKERBErg,1985,56,Male,None,https://specials-images.forbesimg.com/imageserve/59d5062131358e542c034eb7/416x416.jpg?background=000000&cropX1=419&cropX2=1409&cropY1=53&cropY2=1044,5624,56,Technology  ==> Facebook,71.0 BUSD,0.0 millions USD,,5,5624,mark ZUCKERBERG,5.0,56
5,2683,orTEGA,82 years old,57,Male,Spain,https://specials-images.forbesimg.com/imageserve/5a810ce6a7ea431690133fe6/416x416.jpg?background=000000&cropX1=250&cropX2=2266&cropY1=4&cropY2=2019,2683,57,Fashion & Retail  ==> Zara,70.0 BUSD,0.0 millions USD,,6,2683,amaNCIO ORTEGA,6.0,57
6,9249,sliM HELU,78 years old,58,M,Mexico,https://specials-images.forbesimg.com/imageserve/5a7fcad931358e4955ad21fc/416x416.jpg?background=000000&cropX1=247&cropX2=2010&cropY1=226&cropY2=1990,9249,58,Telecom  ==> telecom,67.1 BUSD,0.001 millions USD,,7,9249,carlos sLIM helu,7.0,58
7,8519,koCH,82 years old,59,M,None,https://specials-images.forbesimg.com/imageserve/5638b4b5e4b0ffa7afe69a7f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=53&cropY2=797,8519,59,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,12,8519,chaRLES KOCh,8.0,59
8,8377,koCH,78 years old,60,M,None,https://specials-images.forbesimg.com/imageserve/5a8d901531358e4955adf139/416x416.jpg?background=000000&cropX1=0&cropX2=2400&cropY1=81&cropY2=2481,8377,60,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,13,8377,davID KOCH,9.0,60
9,7402,ellISOn,73 years old,61,M,None,https://specials-images.forbesimg.com/imageserve/5a8d9263a7ea431690140251/416x416.jpg?background=000000&cropX1=0&cropX2=2000&cropY1=197&cropY2=2198,7402,61,Technology  ==> software,58.5 BUSD,-0.001 millions USD,,8,7402,larRY ELlison,10.0,61
10,1761,bloOMBERG,76 years old,62,M,None,https://specials-images.forbesimg.com/imageserve/58c1d278a7ea431f321add1f/416x416.jpg?background=000000&cropX1=0&cropX2=744&cropY1=40&cropY2=784,1761,62,Media & Entertainment  ==> Bloomberg LP,50.0 BUSD,0.0 millions USD,,11,1761,MICHAEL BLOOmberg,11.0,62
11,5863,paGE,45 years old,63,M,None,https://specials-images.forbesimg.com/imageserve/59d5098d4bbe6f37dd9ff6bc/416x416.jpg?background=000000&cropX1=1176&cropX2=2904&cropY1=222&cropY2=1950,5863,63,Technology  ==> Google,48.8 BUSD,0.0 millions USD,,9,5863,laRRY PAGe,12.0,63
12,7349,bRIN,44 years old,64,None,United States,https://specials-images.forbesimg.com/imageserve/5a8d93da31358e4955adf1c9/416x416.jpg?background=000000&cropX1=1399&cropX2=3806&cropY1=290&cropY2=2695,7349,64,Technology  ==> Google,47.5 BUSD,0.0 millions USD,,10,7349,SERGEY BRIN,13.0,64
13,7520,WALTON,70 years old,65,None,None,https://specials-images.forbesimg.com/imageserve/56d1b7cce4b0c144a7f6639f/416x416.jpg?background=000000&cropX1=110&cropX2=516&cropY1=35&cropY2=441,7520,65,Fashion & Retail  ==> Walmart,46.4 BUSD,0.0 millions USD,,19,7520,jIM WALTON,14.0,65
14,2820,walTON,73 years old,66,Male,None,https://specials-images.forbesimg.com/imageserve/59d50a9e4bbe6f37dd9ff712/416x416.jpg?background=000000&cropX1=207&cropX2=1915&cropY1=82&cropY2=1791,2820,66,Fashion & Retail  ==> Walmart,46.2 BUSD,0.0 millions USD,,20,2820,s. ROBSON Walton,15.0,66
15,8847,waLTON,68 years old,67,F,United States,https://specials-images.forbesimg.com/imageserve/59d50b364bbe6f37dd9ff759/416x416.jpg?background=000000&cropX1=97&cropX2=1126&cropY1=114&cropY2=1143,8847,67,Fashion & Retail  ==> Walmart,46.0 BUSD,0.0 millions USD,,21,8847,alICE WALTon,16.0,67
16,7715,mA,46 years old,68,M,None,https://specials-images.forbesimg.com/imageserve/5a7cdf46a7ea431690130bf0/416x416.jpg?background=000000&cropX1=1094&cropX2=3921&cropY1=6&cropY2=2832,7715,68,Technology  ==> internet media,45.3 BUSD,0.001 millions USD,,15,7715,mA HUATENG,17.0,68
17,1206,betTENCOURT Meyers,64 years old,69,F,None,https://specials-images.forbesimg.com/imageserve/5a7def7631358e4955ad0a53/416x416.jpg?background=000000&cropX1=192&cropX2=973&cropY1=69&cropY2=849,1206,69,Fashion & Retail  ==> L'Oreal,42.2 BUSD,0.0 millions USD,,14,1206,francoise BETTENCOURT MEyers,18.0,69
18,4559,amBANi,61 years old,70,M,India,https://specials-images.forbesimg.com/imageserve/5a7f3b7931358e4955ad1a39/416x416.jpg?background=000000&cropX1=5&cropX2=1013&cropY1=214&cropY2=1223,4559,70,"Energy  ==> petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,,17,4559,mUKESH AMbani,19.0,70
19,7353,mA,53 years old,71,None,China,https://specials-images.forbesimg.com/imageserve/5aa1598031358e79a28b5731/416x416.jpg?background=000000&cropX1=1454&cropX2=3297&cropY1=547&cropY2=2389,7353,71,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18,7353,jacK ma,20.0,71
20,2614,ADELSON,84 years old,72,M,USA,https://specials-images.forbesimg.com/imageserve/5a8d9420a7ea43169014027b/416x416.jpg?background=000000&cropX1=935&cropX2=3219&cropY1=79&cropY2=2362,2614,72,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16,2614,sHELDON ADELson,21.0,72
21,2751,balLMER,62 years old,73,M,USA,https://specials-images.forbesimg.com/imageserve/59d50c47a7ea436b47b36d66/416x416.jpg?background=000000&cropX1=656&cropX2=2920&cropY1=354&cropY2=2617,2751,73,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22,2751,sTEVE BALLMER,22.0,73
22,7322,LI,90 years old,74,M,None,https://specials-images.forbesimg.com/imageserve/5a7e6e914bbe6f2652f52a98/416x416.jpg?background=000000&cropX1=623&cropX2=3280&cropY1=6&cropY2=2661,7322,74,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24,7322,LI KA-SHING,23.0,74
23,5166,hUI,59 years old,75,Male,None,https://specials-images.forbesimg.com/imageserve/5aecc8f4a7ea436b547c4c52/416x416.jpg?background=000000&cropX1=372&cropX2=2640&cropY1=490&cropY2=2756,5166,75,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26,5166,hUI KA Yan,24.0,75
24,6260,LEE,90 years old,76,Male,Hong Kong,https://specials-images.forbesimg.com/imageserve/5a579beba7ea431690109b54/416x416.jpg?background=000000&cropX1=24&cropX2=1040&cropY1=66&cropY2=1082,6260,76,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28,6260,lee SHAU kee,25.0,76
25,2128,WANG,63 years old,77,Male,None,https://specials-images.forbesimg.com/imageserve/5a7cf67f4bbe6f2652f510d4/416x416.jpg?background=000000&cropX1=810&cropX2=4091&cropY1=0&cropY2=3280,2128,77,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27,2128,wang JIANlin,26.0,77
