,id,Unnamed: 0,Source,worth,worthChange,realTimeWorth,realTimePosition
0,4256,52,Technology  ==> Amazon,112.0 BUSD,0.0 millions USD,,1
1,6708,53,Technology  ==> Microsoft,90.0 BUSD,-0.001 millions USD,,2
2,7790,54,Finance and Investments  ==> Berkshire Hathaway,84.0 BUSD,-0.002 millions USD,,3
3,2560,55,Fashion & Retail  ==> LVMH,72.0 BUSD,0.0 millions USD,,4
4,5624,56,Technology  ==> Facebook,71.0 BUSD,0.0 millions USD,,5
5,2683,57,Fashion & Retail  ==> Zara,70.0 BUSD,0.0 millions USD,,6
6,9249,58,Telecom  ==> telecom,67.1 BUSD,0.001 millions USD,,7
7,8519,59,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,12
8,8377,60,Diversified  ==> Koch Industries,60.0 BUSD,0.0 millions USD,,13
9,7402,61,Technology  ==> software,58.5 BUSD,-0.001 millions USD,,8
10,1761,62,Media & Entertainment  ==> Bloomberg LP,50.0 BUSD,0.0 millions USD,,11
11,5863,63,Technology  ==> Google,48.8 BUSD,0.0 millions USD,,9
12,7349,64,Technology  ==> Google,47.5 BUSD,0.0 millions USD,,10
13,7520,65,Fashion & Retail  ==> Walmart,46.4 BUSD,0.0 millions USD,,19
14,2820,66,Fashion & Retail  ==> Walmart,46.2 BUSD,0.0 millions USD,,20
15,8847,67,Fashion & Retail  ==> Walmart,46.0 BUSD,0.0 millions USD,,21
16,7715,68,Technology  ==> internet media,45.3 BUSD,0.001 millions USD,,15
17,1206,69,Fashion & Retail  ==> L'Oreal,42.2 BUSD,0.0 millions USD,,14
18,4559,70,"Energy  ==> petrochemicals, oil & gas",40.1 BUSD,0.0 millions USD,,17
19,7353,71,Technology  ==> e-commerce,39.0 BUSD,0.0 millions USD,,18
20,2614,72,Gambling & Casinos  ==> casinos,38.5 BUSD,0.0 millions USD,,16
21,2751,73,Technology  ==> Microsoft,38.4 BUSD,0.0 millions USD,,22
22,7322,74,Diversified  ==> diversified,34.9 BUSD,0.001 millions USD,,24
23,5166,75,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,26
24,6260,76,Real Estate  ==> real estate,30.3 BUSD,0.0 millions USD,,28
25,2128,77,Real Estate  ==> real estate,30.0 BUSD,0.0 millions USD,,27
26,7174,78,Fashion & Retail  ==> supermarkets,29.8 BUSD,0.0 millions USD,,29
27,2056,79,Fashion & Retail  ==> Nike,29.6 BUSD,0.0 millions USD,,25
28,4180,80,Food and Beverage  ==> beer,27.4 BUSD,-672.311 millions USD,,30
29,2284,81,Fashion & Retail  ==> luxury goods,27.0 BUSD,0.0 millions USD,,23
30,6372,82,Automotive  ==> auto parts,25.3 BUSD,0.0 millions USD,,40
31,5639,83,"Automotive  ==> BMW, pharmaceuticals",25.0 BUSD,0.0 millions USD,,38
32,5827,84,Media & Entertainment  ==> media,25.0 BUSD,0.0 millions USD,,32
33,7106,85,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,34
34,1968,86,"Food and Beverage  ==> candy, pet food",23.6 BUSD,0.0 millions USD,,35
35,3157,87,Finance and Investments  ==> banking,23.5 BUSD,0.0 millions USD,,53
36,2665,88,"Food and Beverage  ==> Nutella, chocolates",23.0 BUSD,0.0 millions USD,,43
37,5469,89,Food and Beverage  ==> Red Bull,23.0 BUSD,0.0 millions USD,,33
38,5362,90,Technology  ==> Dell computers,22.7 BUSD,0.0 millions USD,,36
39,6392,91,"Telecom  ==> internet, telecom",22.7 BUSD,0.0 millions USD,,42
40,8384,92,Diversified  ==> diversified,22.6 BUSD,nan millions USD,,42
41,1247,93,Automotive  ==> BMW,22.0 BUSD,0.0 millions USD,,51
42,2459,94,Real Estate  ==> real estate,21.9 BUSD,0.0 millions USD,,31
43,9147,95,"Technology  ==> Microsoft, investments",21.7 BUSD,0.0 millions USD,,49
44,3242,96,Fashion & Retail  ==> eyeglasses,21.2 BUSD,0.006 millions USD,,39
45,3400,97,Fashion & Retail  ==> retail,20.9 BUSD,0.0 millions USD,,79
46,4044,98,Finance and Investments  ==> discount brokerage,20.3 BUSD,0.0 millions USD,,41
47,7529,99,"Fashion & Retail  ==> Aldi, Trader Joe's",20.2 BUSD,0.0 millions USD,,54
48,9930,100,Diversified  ==> diversified,20.2 BUSD,-0.001 millions USD,,44
49,4082,101,Manufacturing  ==> home appliances,20.1 BUSD,0.001 millions USD,,47
50,6113,102,Gambling & Casinos  ==> casinos,20.1 BUSD,0.0 millions USD,,46
51,2863,103,Finance and Investments  ==> hedge funds,20.0 BUSD,0.0 millions USD,,50
52,9710,104,Diversified  ==> diversified,20.0 BUSD,0.0 millions USD,,67
53,1208,105,Automotive  ==> Tesla Motors,19.9 BUSD,0.0 millions USD,,45
54,6141,106,Diversified  ==> diversified,19.5 BUSD,0.001 millions USD,,61
55,4145,107,Fashion & Retail  ==> fashion retail,19.5 BUSD,0.0 millions USD,,37
56,4932,108,"Metals & Mining  ==> steel, transport",19.1 BUSD,0.0 millions USD,,52
57,7912,109,"Philanthropy/NGO  ==> Apple, Disney",18.8 BUSD,0.0 millions USD,,48
58,5446,110,Technology  ==> software services,18.8 BUSD,0.0 millions USD,,71
59,9408,111,"Metals & Mining  ==> steel, investments",18.7 BUSD,0.0 millions USD,,60
60,3252,112,Diversified  ==> Samsung,18.6 BUSD,0.0 millions USD,,62
61,6412,113,Metals & Mining  ==> steel,18.5 BUSD,0.001 millions USD,,63
62,1732,114,Service  ==> package delivery,18.2 BUSD,0.0 millions USD,,64
63,2248,115,"Energy  ==> gas, chemicals",18.0 BUSD,0.0 millions USD,,59
64,3612,116,"Food and Beverage  ==> drinks, real estate",17.9 BUSD,0.0 millions USD,,87
65,4337,117,Construction & Engineering  ==> construction,17.8 BUSD,0.0 millions USD,,57
66,2571,118,Finance and Investments  ==> hedge funds,17.7 BUSD,0.0 millions USD,,68
67,9006,119,Manufacturing  ==> sensors,17.5 BUSD,0.0 millions USD,,65
68,8982,120,Technology  ==> online games,17.4 BUSD,0.0 millions USD,,80
69,5747,121,"Finance and Investments  ==> banking, tobacco",17.4 BUSD,0.0 millions USD,,91
70,8084,122,Metals & Mining  ==> mining,17.4 BUSD,-1.2570000000000001 millions USD,,66
71,3867,123,Metals & Mining  ==> mining,17.3 BUSD,0.0 millions USD,,86
72,1993,124,Finance and Investments  ==> investments,16.8 BUSD,0.0 millions USD,,58
73,6485,125,Fashion & Retail  ==> H&M,16.8 BUSD,0.0 millions USD,,78
74,8934,126,"Manufacturing  ==> banking, tobacco",16.7 BUSD,0.0 millions USD,,102
75,4903,127,Real Estate  ==> real estate,16.7 BUSD,-0.001 millions USD,,73
76,1262,128,Real Estate  ==> real estate,16.5 BUSD,0.0 millions USD,,75
77,6987,129,Energy  ==> oil,16.4 BUSD,0.0 millions USD,,69
78,6934,130,Manufacturing  ==> chemicals,16.4 BUSD,0.0 millions USD,,89
